Date,Open,High,Low,Close,Adj Close,Volume
2018/4/2,9.99,10.14,9.51,9.53,9.53,64824600
2018/4/3,9.63,9.77,9.3,9.55,9.55,54891600
2018/4/4,9.08,9.81,9.04,9.77,9.77,67356900
2018/4/5,10.05,10.2,9.91,10.02,10.02,65758800
2018/4/6,9.83,10.1,9.5,9.61,9.61,51087100
2018/4/9,9.75,9.84,9.52,9.53,9.53,38382600
2018/4/10,9.75,10.04,9.71,9.98,9.98,42849200
2018/4/11,9.87,10.03,9.79,9.82,9.82,29169300
2018/4/12,9.98,10.1,9.82,10.08,10.08,47784400
2018/4/13,10.2,10.22,9.88,9.93,9.93,38935700
2018/4/16,10,10.17,9.9,10.09,10.09,28875100
2018/4/17,10.28,10.53,10.2,10.52,10.52,45360300
2018/4/18,10.51,10.65,10.33,10.36,10.36,42449600
2018/4/19,10.18,10.33,9.99,10.11,10.11,57841600
2018/4/20,10.05,10.14,9.95,9.99,9.99,39011900
2018/4/23,10.09,10.19,9.97,10.04,10.04,42971300
2018/4/24,10.19,10.35,9.95,10.09,10.09,44992200
2018/4/25,10.06,10.09,9.56,9.71,9.71,90578000
2018/4/26,10.87,11.19,10.61,11.04,11.04,145284100
2018/4/27,11.2,11.36,11.02,11.11,11.11,74347800
2018/4/30,11.06,11.14,10.87,10.88,10.88,50608800
2018/5/1,10.83,11.15,10.77,11.13,11.13,43441600
2018/5/2,11.1,11.16,10.97,10.97,10.97,29267300
2018/5/3,10.9,11.06,10.83,10.93,10.93,33310600
2018/5/4,10.88,11.29,10.87,11.28,11.28,47884900
2018/5/7,11.32,11.68,11.3,11.59,11.59,54001700
2018/5/8,11.49,11.66,11.4,11.61,11.61,35218400
2018/5/9,11.65,11.98,11.57,11.95,11.95,49605700
2018/5/10,11.98,12.18,11.95,12.13,12.13,49744500
2018/5/11,11.89,12.03,11.69,11.95,11.95,43863700
2018/5/14,12.14,12.36,12.11,12.23,12.23,50263800
2018/5/15,12.18,12.46,12.16,12.45,12.45,44183200
2018/5/16,12.64,12.98,12.62,12.82,12.82,73364000
2018/5/17,12.79,12.9,12.66,12.82,12.82,38692500
2018/5/18,13.06,13.26,12.91,13,13,54063400
2018/5/21,13.25,13.31,12.88,12.99,12.99,49714200
2018/5/22,13,13.14,12.71,12.98,12.98,43267000
2018/5/23,12.93,13.18,12.9,13.1,13.1,44388300
2018/5/24,13.06,13.43,13.03,13.41,13.41,47785700
2018/5/25,13.4,13.72,13.36,13.54,13.54,43850100
