序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,1,平安银行,平安银行股份有限公司,广东,深圳市,1057.86亿,231.89亿,40745,1991-04-03,--,,银行,商业银行业务,经有关监管机构批准的各项商业银行业务。
2,2,万科A,万科企业股份有限公司,广东,深圳市,2428.97亿,372.08亿,130292,1991-01-29,--,,房地产开发,房地产、物业管理、投资咨询,房地产开发和物业服务。
3,4,ST国华,深圳国华网安科技股份有限公司,广东,深圳市,1.39亿,589.22万,309,1991-01-14,--,,生物医药,应急类产品、安全加固检测类、安全检测类产品、集成产品、智慧类产品、移动应用安全检测平台、移动应用安全加固平台、威胁态势感知平台、其他平台、安全管理平台、源代码审计平台、定制开发产品、其他产品、游戏类产品,移动互联网安全、智慧城市及应急业务。
4,5,ST星源,深圳世纪星源股份有限公司,广东,深圳市,5.31亿,2293.60万,563,1990-12-10,--,,环保工程、物业管理,酒店经营、物业管理、环保业务,绿色低碳城市社区建设相关的服务业务。
5,6,深振业A,深圳市振业(集团)股份有限公司,广东,深圳市,29.59亿,8.20亿,403,1992-04-27,--,,房地产开发,房地产,从事房地产开发与销售。
6,7,全新好,深圳市全新好股份有限公司,广东,深圳市,3964.40万,79.51万,82,1992-04-13,--,,物业经营,物业管理、房屋租赁、汽车经销业、大健康产业,物业管理和房屋租赁业、汽车经销业、大健康产业。
7,8,神州高铁,神州高铁技术股份有限公司,北京,北京市,23.31亿,8.90亿,2240,1992-05-07,--,,轨道交通设备,轨道交通,专业致力于提供轨道交通运营检修装备与数据、线路运营、维保服务。
8,9,中国宝安,中国宝安集团股份有限公司,广东,深圳市,70.71亿,3.23亿,14335,1991-06-25,--,,综合,高新技术产业、生物医药、房地产,高新技术产业、生物医药产业、房地产及其他产业。
9,10,美丽生态,深圳美丽生态股份有限公司,广东,深圳市,7.58亿,-10.50亿,290,1995-10-27,--,,园林工程,工程项目、苗木销售,工程施工、园林绿化及环境综合整治。
10,11,深物业A,深圳市物业发展(集团)股份有限公司,广东,深圳市,29.05亿,6.23亿,7658,1992-03-30,--,,房地产开发,产城空间开发、物业管理服务、产业生态运营、餐饮业务、工程监理业务,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等。
11,12,南玻A,中国南玻集团股份有限公司,广东,深圳市,108.79亿,8.29亿,11910,1992-02-28,--,,玻璃,玻璃业务、电子玻璃及显示器件业务、太阳能及其他业务,研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品，超薄电子玻璃和显示器件等新材料和信息显示产品，提供光伏电站项目开发、建设、运维一站式服务等。
12,14,沙河股份,沙河实业股份有限公司,广东,深圳市,5.13亿,1098.82万,128,1992-06-02,--,,房地产开发,房地产销售,从事房地产开发与经营、现代服务型产业用房运营与管理。
13,16,深康佳A,康佳集团股份有限公司,广东,深圳市,312.28亿,50.87亿,16238,1992-03-27,--,,电视机,工贸业务、彩电业务、环保业务、白电业务、半导体业务,消费类电子业务、工贸业务、环保业务、半导体业务。
14,17,深中华A,深圳中华自行车(集团)股份有限公司,广东,深圳市,1.37亿,157.92万,61,1992-03-31,--,,自行车,阿米尼牌自行车、电动自行车、锂电池材料、黄金珠宝,自行车及锂电池材料业务、珠宝黄金业务。
15,19,深粮控股,深圳市深粮控股股份有限公司,广东,深圳市,107.94亿,3.51亿,1278,1992-10-12,--,,软饮料,食品和饮料及茶加工、粮油贸易及加工、粮油仓储物流及服务,批发零售业务、食品加工制造业务、租赁及商务服务业务。
16,20,深华发A,深圳中恒华发股份有限公司,广东,深圳市,8.58亿,97.44万,1133,1992-04-28,--,,电子零部件,显示器、注塑件、EPS产品、物业租赁、废料收入、水电费及其他,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
17,21,深科技,深圳长城开发科技股份有限公司,广东,深圳市,142.10亿,5.74亿,26917,1994-02-02,--,,PC、服务器及硬件,存储半导体业务、自有产品、高端制造,致力于为全球客户提供技术研发、工艺设计、生产加工、采购管理、物流支持等电子产品制造服务。
18,23,深天地A,深圳市天地(集团)股份有限公司,广东,深圳市,12.29亿,2868.88万,1021,1993-04-29,--,,商品混凝土,房地产、工业、租赁,商品混凝土的生产和销售、房地产的开发及物业管理等。
